Company Name,City / Location,Job Title,Experience Required,Required Skills,Salary Range,Job Posting Link / URL,Source Platform,Posting Date,Company Website,Company Size / Industry,Search Keyword Used,Application Status,extracted_email,status
PwC India,Jaipur,Associate,Associate,Not Mentioned,Not Mentioned,https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291066596,LinkedIn,2 weeks ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Failed (Login Required),,SKIPPED_NO_EMAIL
Puffy,Jaipur,Data Analyst (On-site in Dubai),Mid-Senior level,"SQL, Python, R, Tableau, Statistics, ETL, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/data-analyst-on-site-in-dubai-at-puffy-4432196605,LinkedIn,1 week ago,Not Mentioned,"Full-time | Retail, Internet Marketplace Platforms, and Marketing Services",Data Analyst,Failed (No Easy Apply),,FAILED_TO_LOAD
Auriga IT,Jaipur,Others,Not Applicable,Not Mentioned,Not Mentioned,https://in.linkedin.com/jobs/view/others-at-auriga-it-4333163807,LinkedIn,8 months ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Failed (No Easy Apply),,FAILED_TO_LOAD
Accenture in India,Jaipur,Measurement & Report Analyst,Entry level,"Excel, Power BI, VBA, Reporting",Not Mentioned,https://in.linkedin.com/jobs/view/measurement-report-analyst-at-accenture-in-india-4416447724,LinkedIn,1 week ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Failed (No Easy Apply),,FAILED_TO_LOAD
Accenture in India,Jaipur,Data Engineer,Mid-Senior level,"SQL, ETL",Not Mentioned,https://in.linkedin.com/jobs/view/data-engineer-at-accenture-in-india-4287154113,LinkedIn,1 week ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Failed (No Easy Apply),,FAILED_TO_LOAD
Bill Gosling Outsourcing,Jaipur,"Associate, E-commerce - Data Excellence",Not Applicable,Not Mentioned,Not Mentioned,https://in.linkedin.com/jobs/view/associate-e-commerce-data-excellence-at-bill-gosling-outsourcing-4414755575,LinkedIn,1 month ago,https://www.billgosling.com/careers,Full-time | Outsourcing and Offshoring Consulting,Data Analyst,Applying...,,FAILED_TO_LOAD
Bill Gosling Outsourcing,Jaipur,"Associate, E-commerce - Data Excellence",Not Applicable,Not Mentioned,Not Mentioned,https://in.linkedin.com/jobs/view/associate-e-commerce-data-excellence-at-bill-gosling-outsourcing-4414750829,LinkedIn,1 month ago,https://www.billgosling.com/careers,Full-time | Outsourcing and Offshoring Consulting,Data Analyst,Failed (No Easy Apply),,FAILED_TO_LOAD
Accenture in India,Jaipur,Data Engineer,Mid-Senior level,ETL,Not Mentioned,https://in.linkedin.com/jobs/view/data-engineer-at-accenture-in-india-4434639149,LinkedIn,6 days ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Failed (No Easy Apply),,FAILED_TO_LOAD
Accenture in India,Jaipur,Measurement and Reporting New Associate,Entry level,"Excel, Reporting",Not Mentioned,https://in.linkedin.com/jobs/view/measurement-and-reporting-new-associate-at-accenture-in-india-4432846715,LinkedIn,1 week ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Applying...,,FAILED_TO_LOAD
Mindrift,Jaipur,Freelance Data Scraping Engineer (Python),Not Applicable,"Excel, Python",Not Mentioned,https://in.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4438177492,LinkedIn,8 hours ago,Not Mentioned,Part-time | IT Services and IT Consulting,Data Analyst,Failed (Login Required),,FAILED_TO_LOAD
Appbay technologies,Jaipur,Associate Databricks Developer,Not Applicable,"SQL, Python, ETL",Not Mentioned,https://in.linkedin.com/jobs/view/associate-databricks-developer-at-appbay-technologies-4418771096,LinkedIn,1 month ago,Not Mentioned,Full-time | Information Technology & Services,Data Analyst,Failed (Login Required),,FAILED_TO_LOAD
Spaulding Ridge,Jaipur,Snowflake Senior Analyst,Not Applicable,"SQL, Power BI, Tableau, VBA, ETL, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/snowflake-senior-analyst-at-spaulding-ridge-4320901783,LinkedIn,1 week ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Failed (Login Required),,FAILED_TO_LOAD
Accenture in India,Jaipur,Measurement & Report Specialist,Mid-Senior level,"Excel, Power BI, VBA, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/measurement-report-specialist-at-accenture-in-india-4337326109,LinkedIn,1 week ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Failed (Login Required),,FAILED_TO_LOAD
Appbay technologies,Jaipur,Databricks Developer,Not Applicable,"SQL, Python, Power BI, Tableau, ETL, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/databricks-developer-at-appbay-technologies-4418767136,LinkedIn,1 month ago,Not Mentioned,Full-time | Information Technology & Services,Data Analyst,Failed (Login Required),,FAILED_TO_LOAD
NAV India,Jaipur,Technical Lead,Mid-Senior level,SQL,Not Mentioned,https://in.linkedin.com/jobs/view/technical-lead-at-nav-india-4433200646,LinkedIn,1 week ago,Not Mentioned,"Full-time | Software Development, IT System Custom Software Development, and Financial Services",Data Analyst,Not Applied,,FAILED_TO_LOAD
Norsk Hydro,Jaipur,"Senior Analyst/Assistant Manager, GL",Not Applicable,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/senior-analyst-assistant-manager-gl-at-norsk-hydro-4420936078,LinkedIn,2 weeks ago,Not Mentioned,Full-time | Mining,Data Analyst,Not Applied,,FAILED_TO_LOAD
Wipro,Jaipur,TECHNICAL LEAD L1,Not Applicable,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/technical-lead-l1-at-wipro-4434252614,LinkedIn,1 week ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Not Applied,,FAILED_TO_LOAD
Atrium,Jaipur,AI Lead,Mid-Senior level,"SQL, Python, Statistics",Not Mentioned,https://in.linkedin.com/jobs/view/ai-lead-at-atrium-4415907139,LinkedIn,1 week ago,Not Mentioned,Full-time | Information Technology & Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Angara Ecommerce Pvt. Ltd.,Jaipur,Senior Product Analyst,Mid-Senior level,Reporting,Not Mentioned,https://in.linkedin.com/jobs/view/senior-product-analyst-at-angara-ecommerce-pvt-ltd-4435397168,LinkedIn,4 hours ago,Not Mentioned,"Full-time | Technology, Information and Internet, Retail Luxury Goods and Jewelry, and Wholesale Luxury Goods and Jewelry",Data Analyst,Not Applied,,FAILED_TO_LOAD
r3 Consultant,Jaipur,Senior Data Analyst,Not Applicable,"SQL, Excel, Python, Statistics, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/senior-data-analyst-at-r3-consultant-4386978200,LinkedIn,3 months ago,Not Mentioned,Full-time | Staffing and Recruiting,Data Analyst,Not Applied,,FAILED_TO_LOAD
Spaulding Ridge,Jaipur,Snowflake - Data Architect,Not Applicable,"SQL, Power BI, Tableau, VBA, ETL, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/snowflake-data-architect-at-spaulding-ridge-4287336027,LinkedIn,2 hours ago,Not Mentioned,Full-time | Business Consulting and Services,Data Analyst,Not Applied,,FAILED_TO_LOAD
Epergne Solutions,Jaipur,Azure Data Engineer,Entry level,"SQL, Python, ETL",Not Mentioned,https://in.linkedin.com/jobs/view/azure-data-engineer-at-epergne-solutions-4375817575,LinkedIn,4 months ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Not Applied,,FAILED_TO_LOAD
Jade Global,Jaipur,Technical Lead,Not Applicable,"SQL, ETL, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/technical-lead-at-jade-global-4407825402,LinkedIn,2 months ago,Not Mentioned,Full-time | IT Services and IT Consulting,Data Analyst,Not Applied,,FAILED_TO_LOAD
TELUS Digital AI Data Solutions,Jaipur,Remote-based Punjabi-speaking Online Data Analyst,Entry level,Not Mentioned,Not Mentioned,https://in.linkedin.com/jobs/view/remote-based-punjabi-speaking-online-data-analyst-at-telus-digital-ai-data-solutions-4438187605,LinkedIn,7 hours ago,Not Mentioned,Part-time | IT Services and IT Consulting,Data Analyst,Not Applied,,FAILED_TO_LOAD
Miratech,Jaipur,Junior Google DialogFlow Engineer,Mid-Senior level,"SQL, Python",Not Mentioned,https://in.linkedin.com/jobs/view/junior-google-dialogflow-engineer-at-miratech-4424870726,LinkedIn,3 weeks ago,Not Mentioned,Full-time | Software Development and IT Services and IT Consulting,Data Analyst,Not Applied,,FAILED_TO_LOAD
r3 Consultant,Jaipur,Senior Data Analyst-sales intel,Not Applicable,"SQL, Excel, Python, Statistics, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/senior-data-analyst-sales-intel-at-r3-consultant-4386971508,LinkedIn,3 months ago,Not Mentioned,Full-time | Staffing and Recruiting,Data Analyst,Not Applied,,FAILED_TO_LOAD
r3 Consultant,Jaipur,Revenue Operations Specialist,Not Applicable,"SQL, Excel, Python, ETL, Reporting, Data Visualization",Not Mentioned,https://in.linkedin.com/jobs/view/revenue-operations-specialist-at-r3-consultant-4303514511,LinkedIn,9 months ago,Not Mentioned,Full-time | Staffing and Recruiting,Data Analyst,Not Applied,,FAILED_TO_LOAD
Biz4Group LLC,Jaipur,AI Engineer,Entry level,"SQL, Python",Not Mentioned,https://in.linkedin.com/jobs/view/ai-engineer-at-biz4group-llc-4173056784,LinkedIn,1 year ago,Not Mentioned,Full-time | IT System Custom Software Development and Software Development,Data Analyst,Not Applied,,FAILED_TO_LOAD
