--- Extraction Run Started: 2026-07-16 11:22:08.876418 ---
Input File: linkedin_fresher_data_analyst_jobs_merged.csv (913 rows)
Target Column: Required Skills

Row 1: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291066596 | No valid email addresses found in text
Row 2: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-analyst-on-site-in-dubai-at-puffy-4432196605 | No valid email addresses found in text
Row 3: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/others-at-auriga-it-4333163807 | No valid email addresses found in text
Row 4: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/measurement-report-analyst-at-accenture-in-india-4416447724 | No valid email addresses found in text
Row 5: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-engineer-at-accenture-in-india-4287154113 | No valid email addresses found in text
Row 6: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-e-commerce-data-excellence-at-bill-gosling-outsourcing-4414755575 | No valid email addresses found in text
Row 7: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-e-commerce-data-excellence-at-bill-gosling-outsourcing-4414750829 | No valid email addresses found in text
Row 8: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/data-engineer-at-accenture-in-india-4434639149 | No valid email addresses found in text
Row 9: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/measurement-and-reporting-new-associate-at-accenture-in-india-4432846715 | No valid email addresses found in text
Row 10: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4438177492 | No valid email addresses found in text
Row 11: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/associate-databricks-developer-at-appbay-technologies-4418771096 | No valid email addresses found in text
Row 12: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/snowflake-senior-analyst-at-spaulding-ridge-4320901783 | No valid email addresses found in text
Row 13: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/measurement-report-specialist-at-accenture-in-india-4337326109 | No valid email addresses found in text
Row 14: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/databricks-developer-at-appbay-technologies-4418767136 | No valid email addresses found in text
Row 15: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/technical-lead-at-nav-india-4433200646 | No valid email addresses found in text
Row 16: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-analyst-assistant-manager-gl-at-norsk-hydro-4420936078 | No valid email addresses found in text
Row 17: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/technical-lead-l1-at-wipro-4434252614 | No valid email addresses found in text
Row 18: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/ai-lead-at-atrium-4415907139 | No valid email addresses found in text
Row 19: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-product-analyst-at-angara-ecommerce-pvt-ltd-4435397168 | No valid email addresses found in text
Row 20: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-data-analyst-at-r3-consultant-4386978200 | No valid email addresses found in text
Row 21: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/snowflake-data-architect-at-spaulding-ridge-4287336027 | No valid email addresses found in text
Row 22: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/azure-data-engineer-at-epergne-solutions-4375817575 | No valid email addresses found in text
Row 23: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/technical-lead-at-jade-global-4407825402 | No valid email addresses found in text
Row 24: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/remote-based-punjabi-speaking-online-data-analyst-at-telus-digital-ai-data-solutions-4438187605 | No valid email addresses found in text
Row 25: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/junior-google-dialogflow-engineer-at-miratech-4424870726 | No valid email addresses found in text
Row 26: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-data-analyst-sales-intel-at-r3-consultant-4386971508 | No valid email addresses found in text
Row 27: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/revenue-operations-specialist-at-r3-consultant-4303514511 | No valid email addresses found in text
Row 28: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/ai-engineer-at-biz4group-llc-4173056784 | No valid email addresses found in text
Row 29: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/lead-data-engineer-at-r3-consultant-4386968580 | No valid email addresses found in text
Row 30: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/python-ai-ml-intern-at-durapid-technologies-private-limited-4424329865 | No valid email addresses found in text
Row 31: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-forward-deployed-scientist-at-uipath-4371957148 | No valid email addresses found in text
Row 32: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/manager-at-ah-international-private-limited-4417886151 | No valid email addresses found in text
Row 33: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/senior-functional-analyst-salesforce-pacific-time-zone-at-par-technology-4319514731 | No valid email addresses found in text
Row 34: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/technical-lead-at-biz4group-llc-4415059782 | No valid email addresses found in text
Row 35: Status=SKIPPED_NO_EMAIL | Email=None | Link=https://in.linkedin.com/jobs/view/record-to-report-ops-senior-analyst-at-accenture-in-india-4412198733 | No valid email addresses found in text
