Timestamp,Name,LinkedIn Profile,Status,Reason / Error Message
2026-07-16 10:50:48,Hiring Team,Not Available,CRITICAL_AUTH_ERROR,"Auth error (401): Request had invalid authentication credentials. Expected OAuth 2 access token, login cookie or other valid authentication credential. See https://developers.google.com/identity/sign-in/web/devconsole-project."
2026-07-16 10:58:11,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:58:16,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:58:22,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:58:36,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:58:42,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:58:47,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:58:52,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:58:57,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:59:02,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:59:07,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:59:13,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:59:18,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
2026-07-16 10:59:23,Hiring Team,Not Available,FAILED,"HTTP 404: {
  ""error"": {
    ""code"": 404,
    ""message"": ""This model models/gemini-2.5-flash-lite is no longer available to new users. Please update your code to use a newer model for the latest features and improvements."",
    ""status"": ""NOT_FOUND""
  }
}
"
